Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width
Nickeil Alexander-Walker SG,6f 4.25i,6f 5.5i,203.8,6f 9.5f,8f 6i ‘,5.90%,8.50,8.75
RJ Barrett SF,–,–,–,–,–,–,–,–
Charles Bassey C,6f 8.75i,6f 10i,239.0,7f 3.5i,9f 1.5i,8.50%,9.25,9.50
Darius Bazley PF,6f 7.75i,6f 9i,208.4,7f 0f,8f 11i,3.60% ‘,9.00,9.75
Bol Bol C,7f 0.75i,7f 2.5i,208.0,7f 7i,9f 7.5i,7.10%,9.25,9.50
Jordan Bone SG,6f 1.5i,6f 2.75i,179.0,6f 3.25i,7f 11i,5.00%,7.50,9.25
Brian Bowen II SF,6f 6.25i,6f 7.5i,200.0,6f 10f,8f 7i,6.50% ‘,8.50,9.75
Ky Bowman PG,6f 1i,6f 2.25i,181.2,6f 7i,8f 2i,4.90%,8.25,9.00
Ignas Brazdeikis SF,6f 5.75i,6f 7.25i,220.8,6f 9.25i,8f 6i,6.00%,8.75,9.50
Oshae Brissett SF-PF,6f 7i,6f 8i,203.2,7f 0i,8f 8i,2.90%,9.00,9.50
Moses Brown C,7f 1.25i,7f 2.5i,237.2,7f 4.75i,9f 5i,7.80%,9.50,10.25
Brandon Clarke PF/C,6f 7.25i,6f 8.25i,207.2,6f 8.25i,8f 6i,4.90%,8.25,9.50
Nicolas Claxton C,6f 10i,6f 11.75i,216.6,7f 2.5i,9f 2i,4.50%,9.25,9.50
Tyler Cook PF,6f 7.25i,6f 8.75i,245.4,7f 0.5i,8f 10.5i,6.10%,9.50,10.75
Jarrett Culver SG,6f 5.25i,6f 6.75i,194.2,6f 9.5i,8f 4.5i,5.00%,8.25,8.50
Terence Davis SG,6f 3i,6f 4.5i,192.4,6f 8.75i,8f 5i,4.10%,9.25,10.75
Luguentz Dort PG,6f 2.75i,6f 4.25i,222.2,6f 8.5i,8f 3.5i,5.00%,8.50,9.00
Devon Dotson PG,6f 0i,6f 2i,178.6,6f 3.25i,7f 11.5i,5.90%,8.25,9.50
Carsen Edwards PG,5f 10.75i ‘,6f 0.25i,199.4,6f 6f,7f 10.5i,5.50%,8.75,9.00 5f
Tacko Fall C,7f 5.25i,7f 7i,288.8,8f 2.25i,10f 2.5i,6.80%,10.50,10.50
Bruno Fernando C,6f 8.75i,6f 10.25i,237.0,7f 3.25i,9f 2i,5.40%,9.25,10.00
Daniel Gafford PF,6f 9.25i,6f 10.5i,237.6,7f 2.25i,9f 2i,5.90%,9.25,9.25
Darius Garland PG,–,–,–,–,–,–,–,–
