Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width
Quentin Grimes SG,6f 4i,6f 5.25i,209.6,6f 7.75i,8f 4.5i,8.40%,8.25,10.00
Kyle Guy SG,6f 0.75i,6f 2.25i,167.8,6f 4.5i,7f 11.5i,5.70%,8.00,8.75
Jaylen Hands PG,6f 1.5i,6f 3i,180.4,6f 5.5f,8f 1i,5.10% ‘,8.00,8.25
Jared Harper PG,5f 9.75i,5f 11i,169.2,6f 5.5i,7f 10i,3.90%,8.25,9.50
Jaxson Hayes PF,6f 10.25i,6f 11.5i,218.6,7f 3.5i,9f 2.5i,5.00%,9.25,10.50
Dewan Hernandez C,6f 9i,6f 10.25i,232.8,7f 1.75i,8f 11i,6.10%,9.50,10.25
Tyler Herro SG,6f 4.5i,6f 6i,192.4,6f 3.25i,8f 4.5i,7.10%,8.00,8.75
Jaylen Hoard PF,6f 7.25i,6f 9i,212.6,7f 0.75i,8f 9.5i,6.70%,8.75,9.75
Talen Horton-Tucker SG,6f 2.5i,6f 4i,235.4,7f 1.25i,8f 7i,8.40%,9.50,9.75
DeAndre Hunter SF-PF,–,–,–,–,–,–,–,–
DaQuan Jeffries SG,6f 4i,6f 5i,215.6,6f 11.25i,8f 8i,3.90%,9.50,10.25
Ty Jerome PG,6f 4.25i,6f 5.5i,194.4,6f 4i,8f 2i,6.50%,8.25,9.50
Keldon Johnson SG,6f 4.75i,6f 6i,216.4,6f 9.25i,8f 8i,5.60%,8.00,9.25
Cameron Johnson SG,6f 7i,6f 8.5i,205.2,6f 10i,8f 7i,5.80%,8.00,8.50
Mfiondu Kabengele PF,6f 8.75i,6f 10.25i,256.2,7f 3i,9f 1.5i,5.10%,9.25,10.75
Louis King SF,6f 6.75i,6f 8i,195.2,7f 0.25i,8f 8.5i,4.80%,8.00,8.50
Romeo Langford SG –,6f 4.5i,6f 6i,–,6f 11i,8f 7i,%,9.00,9.00
Dedric Lawson PF,6f 7i,6f 8.5i,233.0,7f 2.25i,8f 11.5i,8.90%,9.75,9.75
Jalen Lecque PG,6f 2.5i,6f 4.25i,185.2,6f 8.5i,8f 2.5i,4.00%,8.75,8.50
Nassir Little SF,6f 4.5i,6f 6i,224.2,7f 1.25i,8f 8.5i,5.90%,8.75,10.00
Terance Mann SG-SF,6f 4.75i,6f 6.5i,204.6,6f 7.75i,8f 5i,4.00%,9.50,9.25
Cody Martin PG-SG,6f 4.75i,6f 5.5i,192.2,6f 10.25i,8f 6.5i,5.00%,8.25,9.00
Charles Matthews SG,6f 5i,6f 6.25i,194.8,6f 9.5i,8f 7i,3.80%,8.50,8.75
Jalen McDaniels SF,6f 8.25i,6f 9.75i,191.6,7f 0.25i,8f 9.5i,5.70%,9.00,10.00
Ja Morant PG,–,–,–,–,–,–,–,–
Zach Norvell Jr. SG,6f 4.5i,6f 5.5i,206.4,6f 6i,8f 5i,7.50%,8.50,9.50
Jaylen Nowell SG,6f 3.25i,6f 4.25i,202.4,6f 7.25i,8f 2i,6.10%,8.25,8.50
Jordan Nwora PF,6f 5.75i,6f 7.5i,220.0,6f 10.5i,8f 7i,7.80%,8.50,9.25
Chuma Okeke SF/PF,–,–,–,–,–,–,–,–
KZ Okpala SF,6f 7.25i,6f 9.5i,209.6,7f 1.75i,8f 10.5i,4.60%,9.25,9.25
Miye Oni SG-SF,6f 4.25i,6f 5.75i,205.6,6f 10.75i,8f 4.5i,4.90%,9.00,10.00
Eric Paschall PF-SF,6f 6i,6f 7.25i,254.4,6f 11.75i,8f 7.5i,6.30%,9.00,9.50
Reggie Perry PF,6f 8i,6f 9.25i,250.8,7f 0.5i,8f 10i,6.70%,9.00,10.00
Shamorie Ponds PG,5f 11.5i,6f 0.5i,180.0,6f 3.5i,8f 0.5i,9.80%,7.75,8.00
Jordan Poole SG,6f 3.5i,6f 5.5i,190.8,6f 6.75i,8f 3.5i,7.50%,8.25,8.50
Jontay Porter C,6f 9.75i,6f 11i,210.4,7f 0i,9f 1.5i,8.50%,8.75,9.50
Kevin Porter Jr. SG,6f 4i,6f 5.5i,212.6,6f 9i,8f 7i,5.10%,8.75,8.75
Neemias Queta C,6f 10.75i,7f 0.25i,225.8,7f 4.25i,9f 3.5i,6.30%,9.50,11.00
Cameron Reddish SF,6f 6.5i,6f 8i,207.8,7f 0.5i,8f 9.5i,4.70%,9.00,9.00
Naz Reid PF-C,6f 8.75i,6f 9.5i,255.8,7f 3.25i,9f 1i,14.00%,9.50,9.25
Isaiah Roby PF,6f 7.25i,6f 8.5i,214.0,7f 1i,8f 10i,3.90%,9.00,10.50
Luka Samanic PF,6f 9.5i,6f 11i,227.2,6f 10.5i,8f 11i,5.60%,8.50,9.00
Admiral Schofield SF,6f 4i,6f 5.25i,240.6,6f 9.75f,8f 6.5i,6.80%,8.75,9.00
Marial Shayok SF,6f 4.5i,6f 5.5i,196.8,7f 0.25i,8f 7.5i,4.70%,8.75,9.25
Simi Shittu PF,6f 8.5i,6f 9.5i,227.2,7f 1.25i,8f 10i,6.20%,8.75,8.50
Killian Tillie PF,–,–,–,–,–,–,–,–
PJ Washington PF,6f 6.5i,6f 8i,230.4,7f 2.25i,8f 10.5i,8.60%,9.00,10.25
Tremont Waters PG,5f 9.5i,5f 10.75i,172.4,6f 2.25i,7f 9.5i,6.60%,8.00,9.75
Quinndary Weatherspoon SG,6f 3i,6f 4.25i,206.6,6f 9i,8f 4i,6.10%,8.50,9.00
Coby White PG,6f 3.5i,6f 4.75i,191.4,6f 5i,8f 1.5i,4.30%,7.75,9.00
Kris Wilkes SF,6f 6.25i,6f 7.75i,208.8,6f 10.75i,8f 7i,4.90%,8.50,9.50
Grant Williams PF,6f 5.75i,6f 7.5i,240.2,6f 9.75i,8f 8.5i,5.40%,9.00,10.50
Zion Williamson PF,–,–,–,–,–,–,–,–
Dylan Windler SF,6f 6.25i,6f 7.5i,195.8,6f 10i,8f 8.5i,4.60%,8.25,9.50
